GeneSymbol	Accession	logFC_Pr	pvals_Pr	UniquePeptides	controlOE1	controlOE2	controlOE3	controlOE4	Foxk1OE1	Foxk1OE2	Foxk1OE3	Foxk1OE4
Pcbp4	P57724	-0.2164235	0.07348958	1	0.9	1.039	0.967	1.114	0.808	0.93	0.901	0.821
Pcca	Q91ZA3	0.3685743	0.000300185	32	1.053	0.946	0.993	1.031	1.346	1.262	1.305	1.281
Pccb	Q99MN9	0.3327327	0.001394297	19	1.044	0.97	0.988	1.042	1.277	1.27	1.29	1.256
Pcdhga4	Q91XY4	-0.494585	0.02026447	1	0.902	1.021	0.997	1.094	0.622	0.8	0.809	0.618
Pcid2	Q8BFV2	-0.0349827	0.6904667	6	0.991	1.045	0.994	1.019	1.072	0.897	0.908	1.075
Pcif1	P59114	0.1605987	0.0391693	4	0.978	0.994	1.037	0.957	1.175	1.065	1.091	1.102
Pck2	Q8BH04	0.8339377	0.000113624	20	1.033	0.988	0.973	1.039	1.808	1.815	1.815	1.751
Pcm1	Q9R0L6	0.2515388	0.000827395	9	0.913	1.068	1.072	0.958	1.107	1.231	1.3	1.137
Pcmt1	P23506	0.1895168	0.183568	6	0.937	1.217	0.969	0.859	0.965	1.23	1.333	1.013
Pcmtd1	P59913	0.198603	0.08458501	4	1.044	0.98	1.032	0.901	1.202	0.988	1.162	1.189
Pcna	P17918	0.05813186	0.6160822	10	0.996	1.012	1.06	0.872	1.077	0.91	1.017	1.098
Pcnp	Q6P8I4	0.3392131	0.02470279	8	0.991	0.976	1.101	0.848	1.294	1.178	1.225	1.257
Pcnt	P48725	-0.3513613	0.5784946	2	1.88	0.805	1.476	0.766	0.61	1.046	0.819	1.387
Pcolce	Q61398	-1.475364	0.000495586	7	0.991	0.98	0.972	1.086	0.351	0.415	0.35	0.333
Pcyox1	Q9CQF9	-0.5379964	0.002516032	16	1.049	0.966	1.029	0.93	0.744	0.626	0.657	0.71
Pcyox1l	Q8C7K6	0.2592405	0.003933153	3	1.007	0.995	1.004	0.992	1.236	1.143	1.167	1.239
Pcyt1a	P49586	0.500644	0.00516059	14	0.954	1.018	1.063	0.899	1.434	1.328	1.38	1.424
Pcyt2	Q922E4	0.4728387	0.004713419	12	1.024	1.042	1.018	0.879	1.41	1.298	1.41	1.382
Pdap1	Q3UHX2	0.302523	0.08836603	6	0.956	1.089	1.066	0.811	1.276	1.12	1.193	1.248
Pdcd10	Q8VE70	0.1450472	0.3239274	4	0.947	1.001	1.087	0.936	1.19	0.922	1.071	1.208
Pdcd2	P46718	-0.05746753	0.8046428	1	0.953	1.135	1.053	0.777	1.058	0.749	0.919	1.039
Pdcd4	Q61823	-0.6431591	0.003870385	7	0.949	1.008	1.037	1.015	0.678	0.576	0.596	0.717
Pdcd5	P56812	0.3029657	0.05965512	6	1.031	0.969	1.064	0.903	1.384	1.058	1.168	1.284
Pdcd6	P12815	-0.1826797	0.2713027	5	0.994	1.032	0.997	0.996	1.023	0.688	0.817	1.013
Pdcd6ip	Q9WU78	0.003219105	0.9297064	31	1.047	0.957	1	1.025	1.051	1.009	1.014	0.964
Pdcl	Q9DBX2	0.3039026	0.1030489	3	1.055	0.974	1.076	0.793	1.21	1.236	1.091	1.275
Pdcl3	Q8BVF2	0.02231676	0.8177794	4	0.969	0.963	1.101	0.88	1.045	0.927	0.974	1.028
Pddc1	Q8BFQ8	-0.2108493	0.2352197	1	0.905	1.244	0.954	0.839	0.754	0.909	1.059	0.684
Pde12	Q3TIU4	0.2608881	0.06115808	6	1.023	0.993	0.926	1.094	1.253	1.286	1.204	1.093
Pde1a	Q61481	0.04971681	0.703293	3	1.101	1.041	1.093	0.815	1.036	1.155	0.953	1.048
Pde1b	Q01065	-0.06739138	0.6544825	1	0.962	0.997	1.072	0.935	1.105	0.83	0.839	1.011
Pde3b	Q61409	0.1706408	0.03388414	14	1.044	0.96	0.999	1.027	1.109	1.182	1.094	1.151
Pde4d	Q01063	-0.1974413	0.05402478	1	0.843	0.931	1.095	1.134	0.833	0.8	0.918	0.94
Pde4dip	Q80YT7	0.002114872	0.9592423	4	0.967	1.09	1.053	0.98	1	1.021	1.042	1.033
Pde6d	O55057	-0.03357401	0.8108816	2	0.933	1.11	0.988	0.925	1.037	0.84	0.968	1.02
Pdgfra	P26618	-1.285266	0.00409335	7	0.963	0.977	0.985	1.038	0.298	0.611	0.349	0.368
Pdgfrb	P05622	-0.9694579	0.001863942	5	0.954	0.94	1.031	1.001	0.441	0.593	0.527	0.444
Pdha1	P35486	0.3670944	0.0121624	16	0.993	1.017	1.031	0.921	1.336	1.173	1.284	1.317
Pdhb	Q9D051	0.4630435	0.007298974	13	0.957	1.125	1.012	0.859	1.373	1.328	1.446	1.302
Pdhx	Q8BKZ9	0.6119969	0.006655327	16	0.993	0.995	1.074	0.903	1.613	1.343	1.517	1.587
Pdia3	P27773	0.4248407	0.01838131	23	1.031	0.984	1.075	0.87	1.448	1.201	1.293	1.374
Pdia4	P08003	-0.05856286	0.04793405	28	1.047	0.983	0.986	0.981	1.013	0.951	0.911	0.963
Pdia5	Q921X9	0.2339572	0.04442581	7	0.947	1.001	1.024	1.004	1.239	1.085	1.113	1.239
Pdia6	Q922R8	0.2249036	0.1650126	11	1.004	0.996	1.071	0.865	1.251	1.022	1.078	1.249
Pdk1	Q8BFP9	0.900992	0.000388829	9	1.07	1.027	0.979	0.927	1.879	1.812	1.982	1.802
Pdk2	Q9JK42	0.2940232	0.03064045	8	1.017	1.004	1	1.009	1.362	1.077	1.206	1.296
Pdk3	Q922H2	-0.09221756	0.01056369	6	1.001	1.056	0.983	0.949	0.934	0.969	0.925	0.914
Pdk4	O70571	0.7046261	6.50E-05	4	1.034	1.014	0.96	0.989	1.614	1.689	1.594	1.617
Pdlim1	O70400	-0.2164638	0.2246157	2	0.958	1.015	1.121	0.832	0.891	0.79	0.789	0.909
Pdlim2	Q8R1G6	-0.4529082	0.01403052	7	0.917	1.148	0.982	0.98	0.711	0.787	0.824	0.62
Pdlim5	Q8CI51	-0.09186086	0.3245382	19	0.979	1.06	0.981	0.984	0.877	1.062	1.024	0.794
Pdlim7	Q3TJD7	-0.7531628	0.003467057	4	0.86	1.115	0.993	1.003	0.547	0.621	0.663	0.525
Pdp1	Q3UV70	-0.4079918	0.001915016	4	0.993	0.972	1.026	0.89	0.765	0.751	0.72	0.689
Pdpk1	Q9Z2A0	-0.05203787	0.4540758	6	1.002	0.979	1.022	0.977	1.011	0.896	0.899	1.033
Pdpr	Q7TSQ8	-0.3882653	0.003317075	16	1.018	0.991	0.984	1.029	0.758	0.833	0.738	0.744
Pdrg1	P59048	0.0362352	0.6838489	1	0.833	1.08	1.046	1.012	0.877	1.255	0.965	0.975
Pds5a	Q6A026	0.252956	0.1438916	14	1.039	0.938	0.969	1.124	1.117	1.37	1.247	1.116
Pds5b	Q4VA53	0.04914937	0.6409178	17	0.985	0.998	0.933	1.095	0.949	1.184	1.035	0.982
Pdss1	Q33DR2	0.7536344	0.000975148	1	1.038	0.957	1.008	1.007	1.66	1.543	1.731	1.827
Pdxdc1	Q99K01	-0.03592262	0.3181433	18	1.01	0.991	1.034	0.95	0.982	0.963	0.963	0.979
Pdxk	Q8K183	0.0550606	0.01833284	5	0.999	0.969	1.007	1.035	1.052	1.015	1.022	1.077
Pdxp	P60487	0.03616325	0.6970996	8	1.05	1.015	1.015	0.899	1.069	0.945	0.974	1.092
Pdzd11	Q9CZG9	-0.4572814	0.00703685	1	0.941	1.044	1.088	0.866	0.671	0.878	0.724	0.596
Pdzk1	Q9JIL4	-1.997103	1.10E-05	1	1.038	0.968	1.046	0.928	0.288	0.211	0.279	0.219
Pdzrn3	Q69ZS0	-0.7148816	0.001130325	2	1.041	1.003	0.964	1.033	0.574	0.683	0.594	0.611
Pea15	Q62048	0.0484593	0.7270883	3	0.987	0.973	1.125	0.867	1.184	0.907	0.962	1.034
Peak1	Q69Z38	-0.7809113	0.02527553	1	1.087	1	0.783	1.252	0.6	0.636	0.593	0.57
Pebp1	P70296	0.166034	0.3836366	6	0.967	1.106	1.071	0.775	1.106	0.951	1.149	1.191
Pecr	Q99MZ7	-0.02504679	0.6593064	8	0.949	1.024	0.983	1.053	1.032	0.945	0.961	1.002
Pef1	Q8BFY6	-0.2590456	0.1785039	3	1.064	0.97	1.059	0.88	0.839	0.682	0.805	0.994
Peg10	Q7TN75	0.676117	0.02724236	2	0.902	0.908	0.965	1.656	1.675	1.659	1.903	1.843
Pelo	Q80X73	0.06958416	0.2382224	9	0.985	0.961	1.057	0.923	1.082	0.991	1.02	1.027
Pelp1	Q9DBD5	0.2101557	0.0264878	4	0.968	0.981	1.048	0.944	1.134	1.092	1.133	1.2
Peo1	Q8CIW5	0.646363	0.01993768	2	0.939	0.965	1.004	1.117	1.523	1.818	1.599	1.36
Pepd	Q11136	0.3831109	0.001533345	9	0.999	1.022	1.021	0.933	1.321	1.246	1.336	1.281
Per1	O35973	0.278238	0.7971262	1	4.405	0	0	0	2.857	0	0	2.485
Per3	O70361	-0.02449953	0.2668518	1	0.973	1.082	0.989	0.935	0.949	1.037	0.977	0.949
Pes1	Q9EQ61	-0.03119854	0.7698849	6	0.917	0.991	0.981	1.131	0.851	1.104	1.037	0.942
Pet100	P0DJE0	0.2074131	0.02487877	1	0.996	0.953	1.044	1.004	1.088	1.094	1.168	1.265
Pet117	P0DJF2	0.283921	0.01147049	1	0.966	1.003	0.967	1.087	1.254	1.271	1.08	1.293
Pex1	Q5BL07	0.17461	0.06576112	15	1.024	0.991	0.976	1.074	1.205	1.194	1.117	1.072
Pex10	B1AUE5	0.1237944	0.1435582	4	1.07	0.974	1.01	0.964	1.171	1.002	1.026	1.179
Pex11a	Q9Z211	0.1517491	0.2283863	3	0.952	1.051	1.083	0.89	1.16	1.058	1.048	1.151
Pex11b	Q9Z210	0.02546526	0.8122051	7	0.945	1.071	0.972	0.999	1.049	0.92	0.939	1.15
Pex11g	Q6P6M5	0.1152784	0.6002085	4	1.006	1.01	1.047	0.844	1.193	0.822	0.95	1.267
Pex12	Q8VC48	0.07467238	0.659124	5	1.011	0.995	1.049	0.917	1.116	0.838	0.979	1.25
Pex13	Q9D0K1	-0.3780522	0.0107022	11	1.018	1.018	1.03	1.016	0.745	0.749	0.743	0.904
Pex14	Q9R0A0	0.4117449	0.08282726	9	0.997	1	1.093	0.858	1.405	1.175	1.169	1.503
Pex16	Q91XC9	-0.1955975	0.148236	5	1.003	1.073	0.986	0.921	0.884	0.819	0.803	0.972
Pex19	Q8VCI5	0.04105138	0.8974834	9	0.997	1.04	1.122	0.756	1.217	0.716	0.834	1.261
Pex2	P55098	0.04945241	0.6827131	1	1.034	0.999	1.015	0.938	1.109	0.916	0.926	1.174
Pex26	Q8BGI5	-0.6819666	0.002973091	1	1.118	0.996	0.962	0.93	0.617	0.655	0.606	0.619
Pex3	Q9QXY9	-0.1784413	0.1025504	8	1.023	1.05	0.963	0.978	0.906	0.817	0.834	0.99
Pex5	O09012	0.02973986	0.846373	8	0.954	1.003	1.086	0.894	1.076	0.883	0.923	1.137
Pex6	Q99LC9	0.04694418	0.2873198	11	1.006	0.993	0.957	1.035	1.019	1.1	0.979	1.025
Pex7	P97865	-0.1018533	0.2863505	1	1.047	1.08	0.924	0.954	0.956	0.908	1.003	0.865
Pfas	Q5SUR0	0.2723451	0.03968077	16	1.017	0.952	0.966	1.055	1.175	1.297	1.221	1.126
Pfdn1	Q9CWM4	-0.4284848	0.03865923	3	1.033	0.804	1.124	1.063	0.907	0.633	0.669	0.781
Pfdn2	O70591	0.1631631	0.3454543	6	1.074	0.812	1.084	1.022	1.42	1.07	1.033	0.947
Pfdn5	Q9WU28	0.1313085	0.4797742	6	0.962	1.019	1.11	0.834	1.197	0.899	1.023	1.18
Pfdn6	Q03958	-0.7532995	0.05563792	2	1.222	0.589	1.131	1.144	0.582	0.571	0.625	0.646
Pfkfb1	P70266	-0.5296664	0.000506707	15	0.987	0.992	1.025	0.963	0.683	0.704	0.668	0.693
Pfkl	P12382	0.3662394	0.000171119	17	1.035	0.974	0.99	1.015	1.3	1.267	1.313	1.294
Pfkm	P47857	0.1181734	0.04603994	18	1.015	0.995	0.979	1.041	1.123	1.142	1.04	1.069
Pfkp	Q9WUA3	0.5618789	0.000275637	18	1.053	0.977	0.982	0.999	1.486	1.507	1.488	1.44
Pfn1	P62962	-0.04337601	0.7495084	7	0.959	1.177	0.898	0.95	0.883	1.1	1.111	0.772
Pfn2	Q9JJV2	-0.1191666	0.2574027	2	1.001	1.104	1.014	0.829	0.772	1.017	1.049	0.797
Pgam1	Q9DBJ1	0.6436674	0.00153282	9	1.062	0.985	1.021	0.905	1.593	1.446	1.565	1.603
Pgam5	Q8BX10	0.357864	0.006536686	14	1.017	0.972	0.982	1.089	1.266	1.339	1.324	1.274
Pgd	Q9DCD0	-0.001798199	0.9713445	11	1.054	0.977	0.984	0.999	1.089	0.931	0.92	1.069
Pggt1b	Q8BUY9	0.1793144	0.05265812	3	1.03	1.017	1.038	0.965	1.182	1.107	1.086	1.211
Pgk1	P09411	0.6150197	0.000374474	19	1.073	0.991	1.008	0.918	1.594	1.446	1.557	1.514
Pgls	Q9CQ60	-0.1601013	0.4425852	7	0.959	1.144	1.053	0.814	0.949	0.744	0.89	0.97
Pgm1	Q9D0F9	0.1384209	0.04503343	24	1.048	0.985	1	0.969	1.152	1.029	1.071	1.153
Pgm2	Q7TSV4	-0.001799545	0.9595062	13	0.992	0.999	0.959	1.061	1.008	1.025	0.981	0.992
Pgm3	Q9CYR6	0.02434837	0.4684831	14	1.03	0.956	1.011	1.057	1.056	1.022	0.976	1.069
Pgp	Q8CHP8	0.3563259	0.03148515	10	1.035	0.994	1.06	0.873	1.343	1.147	1.239	1.343
Pgrmc1	O55022	0.05717596	0.7526581	4	1.058	0.941	1.099	0.835	1.142	0.826	0.942	1.182
Pgrmc2	Q80UU9	0.5889594	0.02747111	7	1.035	0.97	1.077	0.883	1.64	1.259	1.381	1.684
Pgs1	Q8BHF7	0.08870259	0.2484892	8	0.995	0.979	0.961	1.102	1.05	1.156	1.027	1.06
Phactr4	Q501J7	0.1288044	0.1609743	6	0.986	0.986	1.095	0.895	1.016	1.143	1.082	1.091
Phax	Q9JJT9	-0.1112833	0.4123488	2	0.862	1.176	1.052	0.803	0.939	0.987	0.835	0.843
Phb	P67778	0.2992	0.000358469	12	1.012	0.982	1.007	1.004	1.269	1.211	1.204	1.244
Phb2	O35129	0.1709967	0.04057301	18	1.003	0.995	0.948	1.091	1.122	1.147	1.154	1.122
Phc3	Q8CHP6	0.4269472	0.001653351	1	1.011	1.019	1.017	0.934	1.3	1.308	1.426	1.318
Phf14	Q9D4H9	0.04429675	0.6360789	1	0.965	0.996	0.952	1.128	0.957	1.177	1.01	1.023
Phf2	Q9WTU0	-0.803505	0.01142835	1	0.874	1.011	0.998	1.14	0.506	0.739	0.556	0.504
Phf8	Q80TJ7	-0.06136945	0.6422412	2	0.957	1.058	0.916	1.103	0.866	1.103	1.041	0.856
Phgdh	Q61753	-0.8442508	6.12E-05	14	1.039	0.991	1.015	0.955	0.583	0.549	0.547	0.549
Phka1	P18826	-0.197982	0.01757449	5	0.972	1.025	0.961	1.027	0.805	0.971	0.839	0.859
Phka2	Q8BWJ3	-0.2379484	0.000522827	10	1.032	1.003	0.991	0.999	0.852	0.851	0.854	0.856
Phkb	Q7TSH2	-0.2211384	0.001874181	16	1.037	0.991	0.99	1.007	0.875	0.872	0.87	0.836
Phlda3	Q9WV95	-0.4433194	0.004326637	1	1.019	1.024	0.947	1.028	0.696	0.76	0.776	0.723
Phldb1	Q6PDH0	-0.5343734	0.007533812	30	1.011	0.997	0.967	1.06	0.664	0.772	0.723	0.627
Phlpp2	Q8BXA7	-0.04820386	0.6476915	2	0.854	1.093	0.95	1.12	0.958	1.042	0.969	0.916
Phospho1	Q8R2H9	0.01328689	0.7514727	3	0.982	1.038	1.005	0.974	1.005	0.975	1.017	1.039
Phospho2	Q9D9M5	-0.08875738	0.4458467	1	1.004	0.928	1.098	0.942	0.968	0.792	0.912	1.063
Phpt1	Q9DAK9	-0.03302722	0.9122892	5	0.916	1.111	1.09	0.727	1.195	0.669	0.881	1.012
Phyh	O35386	0.7864902	0.001824518	4	0.956	1.157	1.003	0.824	1.549	1.758	1.846	1.643
Phyhd1	Q9DB26	0.1583045	0.04831292	7	1.003	1.07	0.977	0.925	1.111	1.087	1.141	1.097
Phykpl	Q8R1K4	0.7492986	0.002092315	4	1.006	0.988	1.069	0.874	1.783	1.545	1.622	1.668
Pi4k2a	Q2TBE6	-0.3917562	0.03133281	10	1.001	1.026	0.945	1.044	0.747	0.908	0.768	0.638
Pi4k2b	Q8CBQ5	-0.1666277	0.09270836	1	1.039	0.811	1.143	0.995	1.011	0.663	0.927	0.952
Pi4ka	E9Q3L2	-0.2838713	0.000581735	21	1.022	0.969	0.984	1.028	0.813	0.816	0.806	0.853
Pi4kb	Q8BKC8	-0.2477692	0.01347037	3	0.994	1.038	0.942	1.012	0.889	0.799	0.778	0.891
Pias1	O88907	0.13209	0.05275755	2	1.101	0.964	0.986	0.954	1.138	1.019	1.157	1.075
Picalm	Q7M6Y3	-0.3210301	0.01955081	8	1.028	0.95	0.992	1.045	0.772	0.84	0.849	0.753
Piezo1	E2JF22	-0.5127732	0.01088474	2	0.997	0.988	1.002	1.018	0.795	0.625	0.587	0.8
Pigb	Q9JJQ0	-0.1922836	0.1082762	1	0.994	0.975	1.037	0.985	0.82	0.966	0.784	0.923
Pigk	Q9CXY9	0.3626912	0.001645712	3	0.992	0.98	0.998	1.001	1.273	1.232	1.242	1.359
Pigl	Q5SX19	-0.1685343	0.09659265	1	0.985	1.038	0.953	1.042	0.947	0.816	0.922	0.89
Pigm	Q8C2R7	-0.1585061	0.146424	1	1.102	0.925	0.981	1.019	0.875	0.956	0.845	0.932
Pign	Q9R1S3	-0.1327639	0.0534618	2	0.984	0.998	0.98	1.019	0.862	0.975	0.834	0.96
Pigo	Q9JJI6	0.2643013	0.01976243	2	1.036	0.999	1	0.949	1.226	1.287	1.083	1.189
Pigp	Q9JHG1	-0.151883	0.002920103	1	1.039	0.96	1.017	0.987	0.935	0.887	0.89	0.891
Pigq	Q9QYT7	-0.1158689	0.01972898	1	1.011	1.023	0.999	0.958	0.924	0.962	0.88	0.917
Pigs	Q6PD26	0.4031709	0.02488705	9	0.978	0.977	1.073	0.97	1.384	1.242	1.208	1.453
Pigt	Q8BXQ2	0.2601265	0.006025089	8	1.011	1.023	0.969	0.97	1.22	1.163	1.136	1.239
Pigu	Q8K358	0.2290913	0.06424633	1	1.055	0.947	0.991	1.028	1.243	0.953	1.195	1.322
Pigx	Q99LV7	0.09175285	0.1693254	1	1.061	0.946	1.042	0.941	1.154	0.964	1.038	1.096
Pih1d1	Q9CQJ2	0.185104	0.3116485	3	0.963	1.051	1.169	0.893	1.251	1.007	1.1	1.276
Pik3c2a	Q61194	-0.1748448	0.2599887	2	1.063	0.996	0.909	1.071	0.809	1.051	0.909	0.809
Pik3c3	Q6PF93	-0.05778867	0.09071046	6	1.012	0.957	1.016	1.039	0.983	0.949	0.932	1.002
Pik3r1	P26450	0.07274441	0.177612	9	1	0.987	1.044	0.933	1.033	1.021	1.046	1.069
Pik3r4	Q8VD65	-0.1993887	0.03399415	12	1.016	0.998	0.951	1.048	0.848	0.947	0.857	0.843
Pikfyve	Q9Z1T6	-0.03242148	0.4771857	9	1.022	1.001	0.944	1.038	0.956	1.057	0.919	0.984
Pin1	Q9QUR7	-0.07304022	0.4458113	4	0.979	1.123	0.938	0.991	0.861	1.046	1.056	0.869
Pin4	Q9CWW6	0.01394265	0.9151281	4	0.972	1.11	0.893	1.041	0.921	1.15	1.118	0.866
Pip4k2a	O70172	-0.5846057	0.003892612	1	1.098	0.994	0.91	1.041	0.729	0.738	0.626	0.603
Pip4k2b	Q80XI4	-0.149906	0.06120239	4	1.013	0.969	0.958	1.032	0.911	0.942	0.882	0.845
Pip4k2c	Q91XU3	-0.3813544	0.00229569	4	0.976	1.026	1.005	1.057	0.788	0.725	0.764	0.843
Pip5k1c	O70161	-0.6859383	8.33E-05	1	1.002	1.03	0.968	1.009	0.645	0.615	0.589	0.643
Pir	Q9D711	-0.1955334	0.02802543	4	0.977	1.121	0.972	0.93	0.785	0.979	0.932	0.797
Pisd	Q8BSF4	0.6044444	0.005653427	12	0.982	1.047	0.949	1.092	1.437	1.647	1.647	1.457
Pithd1	Q8BWR2	0.0778311	0.2804098	3	1.038	1.007	0.985	0.957	1.108	0.96	1.026	1.114
Pitpna	P53810	-0.09681617	0.1901824	6	1.022	1.005	1.006	0.942	0.967	0.911	0.861	0.978
Pitpnb	P53811	0.3781474	0.000399741	9	1.006	0.996	0.975	0.984	1.296	1.25	1.284	1.318
Pitpnm1	O35954	-0.2005838	0.1095979	23	1.046	0.931	0.945	1.061	0.851	0.937	0.866	0.812
Pitpnm2	Q6ZPQ6	0.1241684	0.3706473	7	1.03	0.98	0.931	1.12	1.073	1.283	1.063	1.007
Pitrm1	Q8K411	0.1152018	0.160712	37	1.027	0.984	0.979	1.04	1.086	1.149	1.123	1.007
Pja1	O55176	-0.2358232	0.1663947	1	1.01	1.036	1.071	0.822	0.968	0.725	0.808	0.844
Pkd2	O35245	-0.8405385	0.000825509	7	1.083	1.002	0.984	0.944	0.544	0.588	0.568	0.541
Pkm	P52480	0.3588859	0.001248297	27	1.045	0.968	0.982	1.013	1.298	1.307	1.286	1.249
Pkn1	P70268	-0.3185295	0.008440614	17	1	0.972	0.968	1.088	0.778	0.846	0.794	0.812
Pkn2	Q8BWW9	-0.2572279	0.01999328	11	0.99	0.99	0.962	1.075	0.794	0.922	0.807	0.838
Pla2g15	Q8VEB4	-0.6000694	0.000686065	7	0.98	1.031	0.959	1.062	0.688	0.637	0.642	0.693
Pla2g16	Q8R3U1	-1.582063	3.26E-05	1	0.957	1.022	1.04	0.957	0.301	0.357	0.337	0.333
Pla2g4a	P47713	0.04138032	0.5657985	4	0.998	1.105	1.061	0.96	1.115	1.031	1.038	1.06
Pla2g6	P97819	0.1183313	0.08129527	13	1.018	0.946	0.987	1.05	1.069	1.123	1.075	1.076
Plaa	P27612	0.3779874	0.002684772	23	1.022	1.009	0.96	1.032	1.315	1.38	1.285	1.248
Plbd2	Q3TCN2	-0.6311151	0.01330874	9	0.905	1.137	0.917	1.043	0.621	0.717	0.71	0.536
Plcb1	Q9Z1B3	-0.2381597	0.000806995	15	1.011	1.017	1.022	0.952	0.851	0.896	0.85	0.796
Plcb3	P51432	-0.03533605	0.4821007	14	1.067	0.983	0.975	0.984	0.963	0.989	1.011	0.949
Plcd1	Q8R3B1	-0.868193	0.000567598	12	0.962	0.97	1.009	1.073	0.557	0.547	0.558	0.537
Plcg1	Q62077	-0.237874	0.04704654	12	1.034	0.948	0.965	1.066	0.842	0.913	0.836	0.812
Plch1	Q4KWH5	0.5148289	0.004460944	1	0.899	1.067	1.059	0.923	1.317	1.439	1.385	1.5
Plcl2	Q8K394	 NaN 	 NaN 	1	0	0	0	0	0	0	0	0
Pld1	Q9Z280	-1.102141	0.003967738	2	0.95	1.043	0.918	1.127	0.439	0.462	0.545	0.435
Pld2	P97813	-0.3097399	0.06190348	2	0.855	0.984	0.997	1.201	0.822	0.793	0.802	0.84
Pld3	O35405	-0.5876627	0.001668132	2	0.982	0.99	0.992	1.047	0.729	0.64	0.59	0.71
Plec	Q9QXS1	-0.8729309	0.008672657	195	1.039	0.961	0.918	1.144	0.541	0.641	0.548	0.488
Plekha1	Q8BUL6	0.3264471	0.367178	1	0.829	1.043	0.898	1.31	1.008	1.552	1.635	0.921
Plekha2	Q9ERS5	-0.08432294	0.4597376	1	0.967	0.93	1.039	1.08	1.055	0.939	0.935	0.859
Plekha3	Q9ERS4	-0.06446166	0.3388345	2	0.987	1.026	1.052	0.894	0.938	0.924	0.964	0.96
Plekhf1	Q3TB82	-0.4018295	0.001938666	3	1.067	0.99	0.987	0.979	0.833	0.714	0.701	0.797
Plekhf2	Q91WB4	0.05135439	0.0607981	4	1.014	0.993	1.019	1.003	1.059	0.993	1.075	1.048
Plekhg3	Q4VAC9	0.2954825	0.1382682	1	1.157	1.049	0.908	0.894	1.123	1.263	1.428	1.105
Plekhg5	Q66T02	0.004321606	0.9524518	4	1.053	0.973	0.94	1.034	0.954	1.073	1	0.985
Plekhh3	Q8VCE9	0.1883493	0.03738382	1	1.054	1.059	0.953	0.928	1.119	1.299	1.112	1.021
Plekhm1	Q7TSI1	-0.2762755	0.1273627	3	1.012	1.026	0.944	1.046	0.988	0.618	0.854	0.866
Plekhm2	Q80TQ5	0.09504363	0.09576234	3	0.946	1.021	1.053	1.033	1.048	1.153	1.063	1.065
Plekho2	Q8K124	-0.5168353	0.01391231	5	0.992	0.977	1.03	1.013	0.577	0.835	0.729	0.663
Plg	P20918	-0.05040656	0.5077413	2	0.9	1.084	0.992	1.014	1	1.023	0.888	0.942
Plgrkt	Q9D3P8	0.1123758	0.05377581	4	0.989	0.986	0.971	1.066	1.052	1.112	1.092	1.081
Plin1	Q8CGN5	-0.3589082	0.01055458	23	0.971	1.091	0.943	0.986	0.751	0.806	0.831	0.724
Plin2	P43883	1.235239	0.002195879	12	0.936	1.11	1.04	0.923	2.329	2.08	2.493	2.536
Plin3	Q9DBG5	-0.02404856	0.8473074	13	0.954	1.043	1.047	0.888	1	0.894	0.911	1.062
Plin4	O88492	0.008911054	0.9571428	43	1.046	1.037	0.882	1.07	0.916	1.191	1.103	0.85
Plod1	Q9R0E2	-0.238169	0.002018844	20	1.041	0.97	0.983	1.021	0.872	0.861	0.825	0.846
Plod2	Q9R0B9	-0.5971942	0.000440544	6	1.035	0.977	0.978	0.978	0.66	0.686	0.615	0.662
Plod3	Q9R0E1	-0.3102398	0.002198237	16	0.993	1.01	0.963	1.06	0.826	0.827	0.787	0.807
Plp2	Q9R1Q7	-0.2000007	0.05321298	1	0.992	0.961	1.037	1.027	0.927	0.77	0.824	0.976
Plpp1	Q61469	-0.3043259	0.01028649	1	0.998	1.005	0.983	1.026	0.73	0.891	0.768	0.86
Plpp3	Q99JY8	-1.101635	2.84E-05	4	0.983	0.992	1.033	1.02	0.464	0.464	0.458	0.491
Plpp6	Q9D4F2	-0.08058966	0.2337832	2	0.996	1.042	0.918	1.075	0.945	0.899	0.955	1.013
Plrg1	Q922V4	0.1834678	0.1358703	6	0.981	1.002	0.973	1.026	1.087	1.277	1.168	0.99
Pls3	Q99K51	-0.6774972	0.000445663	14	1.012	0.962	1.018	1.024	0.665	0.593	0.577	0.676
Plscr1	Q9JJ00	-0.7693871	0.1146439	2	0.947	0.961	1.083	0.909	0.414	1.074	0.34	0.46
Plscr3	Q9JIZ9	-0.6483381	0.1676143	1	0.888	0.934	1.231	0.856	0.746	0	0.999	0.749
Pltp	P55065	0.3848717	0.03851434	2	0.752	1.146	0.985	1.104	1.256	1.321	1.378	1.251
Plxna1	P70206	0.119537	0.06871091	3	1.058	1.023	0.962	0.997	1.13	1.182	0.972	1.105
Plxna2	P70207	-0.3919966	0.1783299	1	1.069	0.973	1.107	0.785	0.735	0.707	0.627	0.929
Plxnb2	B2RXS4	-0.3869951	0.002444928	16	0.97	0.993	1.003	0.991	0.808	0.719	0.754	0.745
Plxnd1	Q3UH93	-0.767073	0.00055424	3	1.003	0.952	1.032	1.048	0.585	0.607	0.603	0.576
Pml	Q60953	0.3006631	0.1915282	2	1.068	0.979	1.079	0.797	1.237	1.049	1.124	1.422
Pmm1	O35621	0.567115	0.003468802	2	0.792	1.195	1.006	0.884	1.355	1.598	1.563	1.228
Pmm2	Q9Z2M7	-0.04719773	0.5861387	7	1.044	0.989	1.036	0.939	1.021	0.869	0.936	1.053
